N6000-8.4E-4I0-C61-5-QS5T25W10P100-AN0RN0CN0-ECS50-COONNNN-5;2716333,9333333;
S;20436,3215108;
V;403721795,6622222;
Intervallo;[2710002,18067 , 2722665,68599];
N6000-8.4E-4I0-C61-5-QS5T25W10P100-AN20RN20CN0-ECS50-COONNNN-5;2490860,2666667;
S;24466,8227563;
V;578671235,2622223;
Intervallo;[2483279,75028 , 2498440,78305];
N6000-8.4E-4I0-C61-5-QS5T500W5P100-AN0RN0CN0-ECS50-COONNNN-5;2994676,2333333;
S;22614,1956251;
V;494355115,6455556;
Intervallo;[2987669,71344 , 3001682,75323];
N6000-8.4E-4I0-C61-5-QS5T500W5P100-AN20RN20CN0-ECS50-COONNNN-5;2721267,9666667;
S;26931,4154352;
V;701124432,7655555;
Intervallo;[2712923,84949 , 2729612,08384];
