N6000-0.0025I0-C61-5-QS5T25W10P300-AN20RN20CN0-ECS50-COONNNN-5;2,9666667;50,0000000;
S;1,7515182;0,0000000;
V;2,9655556;0,0000000;
Intervallo;[2,42400 , 3,50934];[50,00000 , 50,00000];
N6000-0.0025I0-C61-5-QS5T500W10P300-AN0RN0CN0-ECS50-COONNNN-5;3,6333333;50,0000000;
S;1,5862194;0,0000000;
V;2,4322222;0,0000000;
Intervallo;[3,14188 , 4,12479];[50,00000 , 50,00000];
N6000-0.0025I0-C61-5-QS5T500W10P300-AN20RN20CN0-ECS50-COONNNN-5;2,8666667;50,0000000;
S;1,5916449;0,0000000;
V;2,4488889;0,0000000;
Intervallo;[2,37353 , 3,35980];[50,00000 , 50,00000];
N6000-0.0025I0-C61-5-QS5T500W5P300-AN20RN20CN0-ECS50-COONNNN-5;3,3333333;55,0000000;
S;1,7681733;0,0000000;
V;3,0222222;0,0000000;
Intervallo;[2,78550 , 3,88116];[55,00000 , 55,00000];
